,secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,Close,moneyness
779075,108105,2020-12-14,10,90,0.50012,3289.788,371.0333,0.305542,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-9.806798406358075
779076,108105,2020-12-14,30,-90,0.12270999999999999,3814.699,177.1127,0.013506,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,4.584221210018469
779077,108105,2020-12-14,30,-85,0.130252,3790.52,157.341,0.012972,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,3.9213269988010113
779078,108105,2020-12-14,30,-80,0.137933,3770.237,142.4413,0.012395999999999999,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,3.365245966246988
779079,108105,2020-12-14,30,-75,0.145585,3751.2140000000004,129.8407,0.01204,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,2.8437092368541528
779080,108105,2020-12-14,30,-70,0.153252,3732.393,118.5809,0.012008,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,2.3277105624125216
779081,108105,2020-12-14,30,-65,0.161098,3713.2140000000004,108.2609,0.012247,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.801896919294954
779082,108105,2020-12-14,30,-60,0.169215,3693.208,98.60172,0.012627,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.253410150213674
779083,108105,2020-12-14,30,-55,0.177647,3671.937,89.39948000000001,0.013191999999999999,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.6702419974030871
779084,108105,2020-12-14,30,-50,0.186556,3648.982,80.56915,0.014018000000000001,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.04090510925649493
779085,108105,2020-12-14,30,-45,0.196134,3623.821,72.04568,0.015106,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-0.6489117255357946
779086,108105,2020-12-14,30,-40,0.20656799999999997,3595.78,63.75965,0.016493999999999998,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-1.4176869675535997
779087,108105,2020-12-14,30,-35,0.218079,3563.958,55.646280000000004,0.018274000000000002,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-2.2901225351685595
779088,108105,2020-12-14,30,-30,0.230971,3527.092,47.65255,0.020853,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-3.300844979882689
779089,108105,2020-12-14,30,-25,0.24598899999999999,3483.1020000000003,39.78164,0.025657,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-4.506879818025533
779090,108105,2020-12-14,30,-20,0.264926,3427.954,32.091229999999996,0.035470999999999996,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-6.018823651940119
779091,108105,2020-12-14,30,-15,0.290175,3354.29,24.48961,0.051502,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-8.038404245642216
779092,108105,2020-12-14,30,-10,0.32171700000000003,3251.289,16.56348,0.070266,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-10.862291364613618
779093,108105,2020-12-14,30,10,0.16004100000000002,3868.073,7.776622,0.010334000000000001,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,6.0475288583712095
779094,108105,2020-12-14,30,15,0.162623,3827.862,12.94567,0.008135,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,4.94509951359825
779095,108105,2020-12-14,30,20,0.167255,3797.7129999999997,19.0959,0.008537000000000001,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,4.118531104069523
779096,108105,2020-12-14,30,25,0.17318499999999998,3772.013,26.3647,0.009555,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,3.41393698403607
779097,108105,2020-12-14,30,30,0.179921,3748.143,34.8838,0.010563,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,2.7595143519271836
779098,108105,2020-12-14,30,35,0.187396,3724.816,44.847229999999996,0.011641,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,2.1199786695139444
779099,108105,2020-12-14,30,40,0.19570099999999999,3701.1820000000002,56.5246,0.012822,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.4720262402193818
779100,108105,2020-12-14,30,45,0.204909,3676.4990000000003,70.24826,0.014159999999999999,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.7953143077374492
779101,108105,2020-12-14,30,50,0.21515700000000001,3650.0570000000002,86.45825,0.015796,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.07037743139797215
779102,108105,2020-12-14,30,55,0.226698,3621.0690000000004,105.7702,0.017869,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-0.7243608702179549
779103,108105,2020-12-14,30,60,0.23988600000000002,3588.54,129.0467,0.020600999999999998,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-1.616179630162251
779104,108105,2020-12-14,30,65,0.255266,3551.0959999999995,157.5616,0.024717,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-2.642748588548738
779105,108105,2020-12-14,30,70,0.2741,3506.505,193.5543,0.033268,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-3.8652605109771865
779106,108105,2020-12-14,30,75,0.29999499999999996,3449.9990000000003,242.0284,0.054924,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-5.4144354271876916
